,A,B,Support,Confidence,Lift
344,"['soup', 'frozen vegetables']","['mineral water', 'nan', 'milk']",0.0030662578322890282,0.3833333333333333,7.987175925925926
177,"['soup', 'frozen vegetables']","['mineral water', 'milk']",0.0030662578322890282,0.3833333333333333,7.987175925925926
349,"['soup', 'nan', 'frozen vegetables']","['mineral water', 'milk']",0.0030662578322890282,0.3833333333333333,7.987175925925926
173,"['frozen vegetables', 'olive oil']","['mineral water', 'milk']",0.003332888948140248,0.29411764705882354,6.12826797385621
339,"['nan', 'frozen vegetables', 'olive oil']","['mineral water', 'milk']",0.003332888948140248,0.29411764705882354,6.12826797385621
336,"['frozen vegetables', 'olive oil']","['mineral water', 'nan', 'milk']",0.003332888948140248,0.29411764705882354,6.12826797385621
268,"['mineral water', 'whole wheat pasta']","['nan', 'olive oil']",0.0038661511798426876,0.4027777777777778,6.128267973856209
269,"['mineral water', 'nan', 'whole wheat pasta']",['olive oil'],0.0038661511798426876,0.4027777777777778,6.115862573099416
83,"['mineral water', 'whole wheat pasta']",['olive oil'],0.0038661511798426876,0.4027777777777778,6.115862573099416
178,"['soup', 'milk']","['mineral water', 'frozen vegetables']",0.0030662578322890282,0.20175438596491227,5.646864362398533
351,"['soup', 'nan', 'milk']","['mineral water', 'frozen vegetables']",0.0030662578322890282,0.20175438596491227,5.646864362398533
345,"['soup', 'milk']","['mineral water', 'nan', 'frozen vegetables']",0.0030662578322890282,0.20175438596491227,5.646864362398533
239,['tomato sauce'],"['ground beef', 'nan', 'spaghetti']",0.0030662578322890282,0.2169811320754717,5.535970992170453
241,"['nan', 'tomato sauce']","['ground beef', 'spaghetti']",0.0030662578322890282,0.2169811320754717,5.535970992170453
68,['tomato sauce'],"['ground beef', 'spaghetti']",0.0030662578322890282,0.2169811320754717,5.535970992170453
352,"['mineral water', 'nan', 'frozen vegetables', 'milk']",['soup'],0.0030662578322890282,0.27710843373493976,5.484407286136631
346,"['mineral water', 'frozen vegetables', 'milk']","['soup', 'nan']",0.0030662578322890282,0.27710843373493976,5.484407286136631
179,"['mineral water', 'frozen vegetables', 'milk']",['soup'],0.0030662578322890282,0.27710843373493976,5.484407286136631
39,['fromage blanc'],"['honey', 'nan']",0.003332888948140248,0.2450980392156863,5.1788180060756694
40,"['nan', 'fromage blanc']",['honey'],0.003332888948140248,0.2450980392156863,5.164270764485569
3,['fromage blanc'],['honey'],0.003332888948140248,0.2450980392156863,5.164270764485569
244,"['spaghetti', 'nan', 'tomato sauce']",['ground beef'],0.0030662578322890282,0.4893617021276596,4.980599901844742
70,"['spaghetti', 'tomato sauce']",['ground beef'],0.0030662578322890282,0.4893617021276596,4.980599901844742
242,"['spaghetti', 'tomato sauce']","['ground beef', 'nan']",0.0030662578322890282,0.4893617021276596,4.980599901844742
0,['light cream'],['chicken'],0.004532728969470737,0.29059829059829057,4.84395061728395
19,"['nan', 'light cream']",['chicken'],0.004532728969470737,0.29059829059829057,4.84395061728395
18,['light cream'],"['nan', 'chicken']",0.004532728969470737,0.29059829059829057,4.84395061728395
2,['pasta'],['escalope'],0.005865884548726837,0.3728813559322034,4.700811850163794
35,['pasta'],"['nan', 'escalope']",0.005865884548726837,0.3728813559322034,4.700811850163794
36,"['nan', 'pasta']",['escalope'],0.005865884548726837,0.3728813559322034,4.700811850163794
38,"['herb & pepper', 'french fries']",['ground beef'],0.003199573390214638,0.46153846153846156,4.697421981004071
153,"['herb & pepper', 'french fries']","['ground beef', 'nan']",0.003199573390214638,0.46153846153846156,4.697421981004071
155,"['herb & pepper', 'nan', 'french fries']",['ground beef'],0.003199573390214638,0.46153846153846156,4.697421981004071
107,"['spaghetti', 'nan', 'cereals']",['ground beef'],0.0030662578322890282,0.45999999999999996,4.681763907734057
105,"['spaghetti', 'cereals']","['ground beef', 'nan']",0.0030662578322890282,0.45999999999999996,4.681763907734057
16,"['spaghetti', 'cereals']",['ground beef'],0.0030662578322890282,0.45999999999999996,4.681763907734057
181,"['soup', 'mineral water', 'frozen vegetables']",['milk'],0.0030662578322890282,0.6052631578947368,4.670863114576565
354,"['soup', 'mineral water', 'nan', 'frozen vegetables']",['milk'],0.0030662578322890282,0.6052631578947368,4.670863114576565
348,"['soup', 'mineral water', 'frozen vegetables']","['nan', 'milk']",0.0030662578322890282,0.6052631578947368,4.670863114576565
37,"['ground beef', 'french fries']",['herb & pepper'],0.003199573390214638,0.23076923076923078,4.665768194070081
154,"['ground beef', 'nan', 'french fries']",['herb & pepper'],0.003199573390214638,0.23076923076923078,4.665768194070081
152,"['ground beef', 'french fries']","['herb & pepper', 'nan']",0.003199573390214638,0.23076923076923078,4.665768194070081
298,"['mineral water', 'frozen vegetables', 'chocolate']","['shrimp', 'nan']",0.003199573390214638,0.32876712328767127,4.609499423889387
300,"['mineral water', 'nan', 'frozen vegetables', 'chocolate']",['shrimp'],0.003199573390214638,0.32876712328767127,4.600899611531385
128,"['mineral water', 'frozen vegetables', 'chocolate']",['shrimp'],0.003199573390214638,0.32876712328767127,4.600899611531385
318,"['ground beef', 'frozen vegetables']","['mineral water', 'nan', 'milk']",0.0037328356219170776,0.22047244094488186,4.593788276465442
320,"['ground beef', 'nan', 'frozen vegetables']","['mineral water', 'milk']",0.0037328356219170776,0.22047244094488186,4.593788276465442
162,"['ground beef', 'frozen vegetables']","['mineral water', 'milk']",0.0037328356219170776,0.22047244094488186,4.593788276465442
337,"['mineral water', 'frozen vegetables', 'milk']","['nan', 'olive oil']",0.003332888948140248,0.30120481927710846,4.582834380116816
341,"['mineral water', 'nan', 'frozen vegetables', 'milk']",['olive oil'],0.003332888948140248,0.30120481927710846,4.573557387444516
174,"['mineral water', 'frozen vegetables', 'milk']",['olive oil'],0.003332888948140248,0.30120481927710846,4.573557387444516
86,['pasta'],"['shrimp', 'nan']",0.005065991201173177,0.3220338983050847,4.515095833993347
87,"['nan', 'pasta']",['shrimp'],0.005065991201173177,0.3220338983050847,4.506672147735896
8,['pasta'],['shrimp'],0.005065991201173177,0.3220338983050847,4.506672147735896
134,"['herb & pepper', 'chocolate']","['ground beef', 'nan']",0.003999466737768298,0.4411764705882354,4.4901827759597746
26,"['herb & pepper', 'chocolate']",['ground beef'],0.003999466737768298,0.4411764705882354,4.4901827759597746
135,"['herb & pepper', 'nan', 'chocolate']",['ground beef'],0.003999466737768298,0.4411764705882354,4.4901827759597746
301,"['shrimp', 'mineral water', 'nan', 'chocolate']",['frozen vegetables'],0.003199573390214638,0.4210526315789474,4.417224880382776
129,"['shrimp', 'mineral water', 'chocolate']",['frozen vegetables'],0.003199573390214638,0.4210526315789474,4.417224880382776
299,"['shrimp', 'mineral water', 'chocolate']","['nan', 'frozen vegetables']",0.003199573390214638,0.4210526315789474,4.417224880382776
232,"['ground beef', 'tomatoes']","['spaghetti', 'mineral water']",0.0030662578322890282,0.26136363636363635,4.3760907061688314
378,"['ground beef', 'tomatoes']","['spaghetti', 'mineral water', 'nan']",0.0030662578322890282,0.26136363636363635,4.3760907061688314
380,"['ground beef', 'nan', 'tomatoes']","['spaghetti', 'mineral water']",0.0030662578322890282,0.26136363636363635,4.3760907061688314
100,"['cake', 'frozen vegetables']","['nan', 'tomatoes']",0.0030662578322890282,0.2987012987012987,4.367560314928736
102,"['cake', 'nan', 'frozen vegetables']",['tomatoes'],0.0030662578322890282,0.2987012987012987,4.367560314928736
13,"['cake', 'frozen vegetables']",['tomatoes'],0.0030662578322890282,0.2987012987012987,4.367560314928736
333,"['ground beef', 'nan', 'frozen vegetables']","['spaghetti', 'mineral water']",0.004399413411545127,0.25984251968503935,4.350622187851519
332,"['ground beef', 'frozen vegetables']","['spaghetti', 'mineral water', 'nan']",0.004399413411545127,0.25984251968503935,4.350622187851519
169,"['ground beef', 'frozen vegetables']","['spaghetti', 'mineral water']",0.004399413411545127,0.25984251968503935,4.350622187851519
79,"['milk', 'tomatoes']",['soup'],0.0030662578322890282,0.21904761904761905,4.335293378565146
260,"['milk', 'tomatoes']","['soup', 'nan']",0.0030662578322890282,0.21904761904761905,4.335293378565146
262,"['nan', 'milk', 'tomatoes']",['soup'],0.0030662578322890282,0.21904761904761905,4.335293378565146
157,"['spaghetti', 'frozen smoothie']","['mineral water', 'milk']",0.003199573390214638,0.20512820512820515,4.274074074074075
314,"['spaghetti', 'frozen smoothie', 'nan']","['mineral water', 'milk']",0.003199573390214638,0.20512820512820515,4.274074074074075
311,"['spaghetti', 'frozen smoothie']","['mineral water', 'nan', 'milk']",0.003199573390214638,0.20512820512820515,4.274074074074075
146,"['ground beef', 'eggs']","['herb & pepper', 'nan']",0.0041327822956939075,0.2066666666666667,4.178454627133872
148,"['ground beef', 'nan', 'eggs']",['herb & pepper'],0.0041327822956939075,0.2066666666666667,4.178454627133872
30,"['ground beef', 'eggs']",['herb & pepper'],0.0041327822956939075,0.2066666666666667,4.178454627133872
75,"['milk', 'olive oil']",['soup'],0.0035995200639914677,0.2109375,4.174781497361478
252,"['milk', 'olive oil']","['soup', 'nan']",0.0035995200639914677,0.2109375,4.174781497361478
255,"['nan', 'milk', 'olive oil']",['soup'],0.0035995200639914677,0.2109375,4.174781497361478
84,['whole wheat pasta'],"['nan', 'olive oil']",0.007998933475536596,0.2714932126696833,4.13077198425009
7,['whole wheat pasta'],['olive oil'],0.007998933475536596,0.2714932126696833,4.122410097642296
85,"['nan', 'whole wheat pasta']",['olive oil'],0.007998933475536596,0.2714932126696833,4.122410097642296
340,"['mineral water', 'milk', 'olive oil']","['nan', 'frozen vegetables']",0.003332888948140248,0.39062500000000006,4.098011363636364
361,"['shrimp', 'mineral water', 'spaghetti']","['nan', 'frozen vegetables']",0.003332888948140248,0.39062500000000006,4.098011363636364
343,"['mineral water', 'nan', 'milk', 'olive oil']",['frozen vegetables'],0.003332888948140248,0.39062500000000006,4.098011363636364
176,"['mineral water', 'milk', 'olive oil']",['frozen vegetables'],0.003332888948140248,0.39062500000000006,4.098011363636364
363,"['shrimp', 'mineral water', 'nan', 'spaghetti']",['frozen vegetables'],0.003332888948140248,0.39062500000000006,4.098011363636364
196,"['shrimp', 'mineral water', 'spaghetti']",['frozen vegetables'],0.003332888948140248,0.39062500000000006,4.098011363636364
61,"['herb & pepper', 'spaghetti']",['ground beef'],0.006399146780429276,0.3934426229508197,4.004359721511667
223,"['herb & pepper', 'nan', 'spaghetti']",['ground beef'],0.006399146780429276,0.3934426229508197,4.004359721511667
222,"['herb & pepper', 'spaghetti']","['ground beef', 'nan']",0.006399146780429276,0.3934426229508197,4.004359721511667
386,"['milk', 'tomatoes']","['spaghetti', 'mineral water', 'nan']",0.003332888948140248,0.2380952380952381,3.9865008503401365
388,"['nan', 'milk', 'tomatoes']","['spaghetti', 'mineral water']",0.003332888948140248,0.2380952380952381,3.9865008503401365
248,"['milk', 'tomatoes']","['spaghetti', 'mineral water']",0.003332888948140248,0.2380952380952381,3.9865008503401365
57,"['herb & pepper', 'milk']",['ground beef'],0.0035995200639914677,0.3913043478260869,3.9825968969382335
218,"['herb & pepper', 'milk']","['ground beef', 'nan']",0.0035995200639914677,0.3913043478260869,3.9825968969382335
219,"['herb & pepper', 'nan', 'milk']",['ground beef'],0.0035995200639914677,0.3913043478260869,3.9825968969382335
221,"['herb & pepper', 'mineral water', 'nan']",['ground beef'],0.006665777896280496,0.39062500000000006,3.975682666214383
220,"['herb & pepper', 'mineral water']","['ground beef', 'nan']",0.006665777896280496,0.39062500000000006,3.975682666214383
58,"['herb & pepper', 'mineral water']",['ground beef'],0.006665777896280496,0.39062500000000006,3.975682666214383
123,"['spaghetti', 'frozen vegetables', 'chocolate']",['ground beef'],0.0030662578322890282,0.3898305084745763,3.967596531978015
